,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,886.0,1537.0,1885.0,2123.0,2161.0,2336
Expenses,0.0,638.0,1064.0,1294.0,1506.0,1518.0,1624
Operating Profit,-0.0,248.0,473.0,592.0,617.0,643.0,712
OPM %,-4.0,28.0,31.0,31.0,29.0,30.0,30
Other Income,0.0,-0.0,11.0,0.0,14.0,28.0,17
Interest,0.0,1.0,34.0,88.0,28.0,1.0,1
Depreciation,0.0,19.0,29.0,33.0,38.0,42.0,48
Profit before tax,-0.0,228.0,421.0,471.0,565.0,629.0,680
Tax %,-4200.0,14.0,26.0,25.0,26.0,26.0,
Net Profit,-0.0,196.0,313.0,352.0,419.0,467.0,506
EPS in Rs,-430.0,997.86,1597.37,358.74,34.17,38.11,41.26
