,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,252.74,168.37,109.01,105.72,109.84,97.93,373.16,125.7,191.92,170.95,178.77,46.87,12.48
Expenses,152.8,122.16,69.9,77.44,78.76,74.68,380.53,124.19,164.25,141.91,153.92,44.36,14.65
Operating Profit,99.94,46.21,39.11,28.28,31.08,23.25,-7.37,1.51,27.67,29.04,24.85,2.51,-2.17
OPM %,39.54,27.45,35.88,26.75,28.3,23.74,-1.98,1.2,14.42,16.99,13.9,5.36,-17.39
Other Income,18.3,6.75,-7.76,16.07,14.61,1.93,26.05,10.62,16.06,13.59,16.37,110.76,21.88
Interest,79.48,61.5,59.73,38.22,56.54,50.36,45.98,58.79,69.55,64.68,64.26,18.3,5.70
Depreciation,77.53,69.46,60.2,42.96,44.54,34.24,29.48,32.28,30.86,29.38,26.27,8.45,4.22
Profit before tax,-38.77,-78.0,-88.58,-36.83,-55.39,-59.42,-56.78,-78.94,-56.68,-51.43,-49.31,86.52,9.79
Tax %,-28.94,11.22,10.5,15.69,-10.56,11.85,0.04,-0.03,-0.32,-0.04,-0.71,0.57,
Net Profit,-49.99,-69.24,-79.29,-31.05,-61.24,-70.5,-72.45,-78.96,-56.87,-51.45,-49.66,86.03,9.33
EPS in Rs,-33.14,-50.67,-52.09,-24.87,-49.98,-48.46,-42.61,-45.8,-34.52,-36.22,-32.56,72.05,8.02
