,Dec 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2550.0,962.0,1341.0,1196.0,2861.0,2755.0,2845.0,2178.0,2752.0,3316.0,3070.0,3688.0,3781
Expenses,2111.0,861.0,1567.0,967.0,2486.0,2228.0,2448.0,1982.0,2351.0,2779.0,3201.0,3544.0,3448
Operating Profit,439.0,101.0,-226.0,229.0,374.0,527.0,398.0,197.0,401.0,537.0,-131.0,145.0,332
OPM %,17.0,10.0,-17.0,19.0,13.0,19.0,14.0,9.0,15.0,16.0,-4.0,4.0,9
Other Income,133.0,959.0,3281.0,874.0,63.0,291.0,643.0,303.0,-30.0,109.0,-112.0,92.0,-39
Interest,195.0,79.0,109.0,47.0,168.0,183.0,196.0,79.0,156.0,150.0,177.0,261.0,294
Depreciation,104.0,31.0,56.0,64.0,131.0,126.0,154.0,117.0,174.0,206.0,233.0,243.0,241
Profit before tax,273.0,949.0,2890.0,992.0,137.0,509.0,690.0,303.0,42.0,289.0,-653.0,-268.0,-241
Tax %,14.0,11.0,39.0,15.0,31.0,12.0,1.0,-9.0,27.0,11.0,27.0,21.0,
Net Profit,234.0,847.0,1767.0,844.0,95.0,446.0,684.0,330.0,31.0,258.0,-474.0,-212.0,-255
EPS in Rs,38.44,143.92,296.43,141.78,12.15,44.71,74.25,36.25,4.06,29.93,-51.25,-22.44,-25.25
