,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2273.0,2967.0,3264.0,2653.0,2068.0,2919.0,3027.0,3194.0,2724.0,3185.0,5032.0,5287.0,5070
Expenses,2176.0,2810.0,3175.0,2559.0,1964.0,2621.0,2830.0,3100.0,2576.0,2510.0,4126.0,4626.0,4546
Operating Profit,96.0,157.0,90.0,93.0,104.0,297.0,196.0,93.0,148.0,675.0,907.0,661.0,525
OPM %,4.0,5.0,3.0,4.0,5.0,10.0,6.0,3.0,5.0,21.0,18.0,12.0,10
Other Income,4.0,4.0,6.0,3.0,3.0,7.0,8.0,10.0,12.0,16.0,30.0,59.0,69
Interest,32.0,24.0,23.0,17.0,5.0,5.0,5.0,4.0,6.0,8.0,7.0,6.0,4
Depreciation,23.0,28.0,29.0,24.0,17.0,22.0,21.0,23.0,36.0,39.0,42.0,47.0,53
Profit before tax,46.0,110.0,44.0,56.0,85.0,278.0,179.0,76.0,118.0,644.0,888.0,667.0,536
Tax %,31.0,34.0,31.0,37.0,33.0,35.0,35.0,35.0,13.0,26.0,25.0,25.0,
Net Profit,31.0,73.0,31.0,36.0,57.0,179.0,116.0,49.0,103.0,477.0,663.0,498.0,397
EPS in Rs,1.62,3.76,1.58,1.85,2.96,9.3,6.02,2.55,5.32,25.4,35.28,26.49,21.10
