,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,259.0,354.0,418.0,481.0,566.0,488.0,514.0,605.0,689.0,707
Expenses,232.0,325.0,381.0,439.0,531.0,463.0,494.0,577.0,657.0,665
Operating Profit,28.0,30.0,37.0,42.0,36.0,25.0,20.0,27.0,32.0,42
OPM %,11.0,8.0,9.0,9.0,6.0,5.0,4.0,5.0,5.0,6
Other Income,3.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,8.0,8
Interest,18.0,20.0,19.0,18.0,14.0,20.0,13.0,20.0,27.0,32
Depreciation,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3
Profit before tax,10.0,7.0,18.0,22.0,23.0,7.0,8.0,9.0,11.0,15
Tax %,21.0,22.0,27.0,24.0,23.0,18.0,34.0,28.0,27.0,
Net Profit,8.0,6.0,13.0,17.0,18.0,6.0,5.0,3.0,8.0,11
EPS in Rs,0.29,0.2,0.24,0.22,0.25,0.08,0.07,0.05,0.11,0.12
