,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.09,0.92,0.28,0.00,0.37,0.00,0.00,0.00,0.00,0.00
Expenses,2.33,1.23,1.63,0.87,1.24,0.25,0.08,0.02,0.28,0.01
Operating Profit,-1.24,-0.31,-1.35,-0.87,-0.87,-0.25,-0.08,-0.02,-0.28,-0.01
OPM %,-113.76,-33.7,-482.14,,-235.14,,,,,
Other Income,0.31,-1.53,0.0,0.18,0.06,0.08,0.02,0.00,0.38,-0.08
Interest,0.01,0.01,0.01,0.00,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.61,0.42,0.14,0.16,0.16,0.13,0.13,0.11,0.11,0.10
Profit before tax,-1.55,-2.27,-1.5,-0.85,-0.97,-0.30,-0.19,-0.13,-0.01,-0.19
Tax %,0.0,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0.00,0.00
Net Profit,-1.55,-2.27,-1.49,-0.86,-0.97,-0.30,-0.19,-0.13,-0.02,-0.19
EPS in Rs,-1.48,-2.16,-1.42,-0.82,-0.92,-0.29,-0.18,-0.12,-0.02,-0.18
