,Sep 2007,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,38.68,256.04,559.75,396.98,86.73,145.21,136.69,135.35,142.29,58.38,6.24,1.14,1.33
Expenses,77.76,250.36,545.09,380.04,100.02,153.46,147.38,140.86,134.92,62.8,11.49,1.01,0.73
Operating Profit,-39.08,5.68,14.66,16.94,-13.29,-8.25,-10.69,-5.51,7.37,-4.42,-5.25,0.13,0.60
OPM %,-101.03,2.22,2.62,4.27,-15.32,-5.68,-7.82,-4.07,5.18,-7.57,-84.13,11.4,45.11
Other Income,40.94,4.85,17.38,0.6,22.9,13.16,23.99,3.63,2.42,35.03,-44.41,-17.26,1.70
Interest,2.08,0.0,0.05,0.05,0.05,1.0,1.11,1.24,6.94,10.47,1.81,2.14,1.94
Depreciation,3.94,1.38,3.57,4.57,3.94,13.25,14.46,14.01,25.75,24.59,6.25,1.47,0.11
Profit before tax,-4.16,9.15,28.42,12.92,5.62,-9.34,-2.27,-17.13,-22.9,-4.45,-57.72,-20.74,0.25
Tax %,-2.40,0.0,0.0,-120.74,-0.36,-52.89,111.89,-39.05,-0.39,-91.46,-16.81,0.0,
Net Profit,-4.26,9.15,28.43,25.02,5.63,-19.4,-0.45,-23.82,-23.29,-9.4,-69.17,-20.74,0.26
EPS in Rs,,0.37,1.12,0.95,0.23,-0.78,-0.08,-0.95,-0.93,-0.38,-2.77,-0.83,0.01
