,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.78,4.27,5.82,0.01,1.39,3.65,2.13,1.45,0.38,1.98,1.61,1.32,2.67
Expenses,0.76,4.48,6.52,1.36,2.14,3.57,2.19,1.37,0.47,1.94,5.92,1.64,4.07
Operating Profit,0.02,-0.21,-0.7,-1.35,-0.75,0.08,-0.06,0.08,-0.09,0.04,-4.31,-0.32,-1.40
OPM %,2.56,-4.92,-12.03,-13500.0,-53.96,2.19,-2.82,5.52,-23.68,2.02,-267.7,-24.24,-52.43
Other Income,0.00,0.26,0.88,1.52,0.88,0.18,0.54,0.04,-0.02,0.07,0.03,0.0,1.08
Interest,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.02,0.02,0.09,0.09,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.01,0.02
Profit before tax,0.00,0.03,0.09,0.08,0.05,0.11,0.48,0.12,-0.11,0.11,-4.28,-0.33,-0.34
Tax %,,100.0,22.22,37.5,40.0,27.27,25.0,16.67,0.0,0.0,0.0,0.0,
Net Profit,0.00,0.0,0.07,0.05,0.03,0.08,0.35,0.09,-0.11,0.11,-4.28,-0.33,-0.34
EPS in Rs,0.00,0.0,0.03,0.02,0.01,0.03,0.14,0.04,-0.05,0.05,-1.76,-0.14,-0.14
