,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,24.0,26.0,29.0,22.0,31.0,36.0,50.0,66.0,76.0,38.0,88.0,136.0,155
Expenses,23.0,24.0,28.0,19.0,27.0,34.0,41.0,56.0,60.0,37.0,74.0,108.0,119
Operating Profit,1.0,1.0,1.0,2.0,3.0,3.0,9.0,10.0,16.0,2.0,14.0,28.0,36
OPM %,6.0,5.0,4.0,11.0,10.0,7.0,18.0,15.0,21.0,4.0,16.0,21.0,23
Other Income,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,7.0,8
Profit before tax,2.0,1.0,1.0,4.0,3.0,5.0,9.0,11.0,15.0,-1.0,5.0,19.0,26
Tax %,25.0,34.0,34.0,15.0,37.0,25.0,29.0,24.0,29.0,48.0,27.0,28.0,
Net Profit,1.0,1.0,1.0,3.0,2.0,3.0,6.0,8.0,10.0,-1.0,4.0,14.0,18
EPS in Rs,1.9,1.11,1.39,4.34,3.09,4.93,9.23,11.8,13.22,-0.7,4.87,17.75,23.59
