,2006-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,20,23,23,23,23,24,24,24,25,25,25
Reserves,17,61,172,208,245,284,446,504,580,798,930,1026
Borrowings,12,46,72,97,136,142,73,54,83,141,138,180
Other Liabilities,10,54,62,55,55,73,87,93,115,118,136,166
Total Liabilities,40,182,329,384,460,523,630,675,803,1081,1229,1398
Fixed Assets,28,95,100,176,229,313,396,406,406,480,499,520
CWIP,0,12,84,83,86,47,13,3,33,48,64,102
Investments,1,0,10,2,2,3,3,36,87,146,154,163
Other Assets,11,75,135,124,143,160,218,230,277,407,512,613
Total Assets,40,182,329,384,460,523,630,675,803,1081,1229,1398
