,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0,750.0,885.0,1024.0,1032.0,844.0,1081.0,1241.0,1266
Expenses,0.0,0,688.0,794.0,904.0,910.0,710.0,907.0,1047.0,1068
Operating Profit,0.0,-0,62.0,91.0,119.0,122.0,134.0,175.0,194.0,197
OPM %,,,8.0,10.0,12.0,12.0,16.0,16.0,16.0,16
Other Income,0.0,0,1.0,2.0,3.0,4.0,8.0,8.0,7.0,6
Interest,0.0,0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2
Depreciation,0.0,0,4.0,5.0,7.0,8.0,9.0,10.0,15.0,18
Profit before tax,0.0,-0,57.0,84.0,112.0,117.0,132.0,172.0,185.0,184
Tax %,,0,34.0,30.0,35.0,24.0,24.0,25.0,25.0,
Net Profit,0.0,-0,37.0,58.0,73.0,89.0,101.0,129.0,139.0,138
EPS in Rs,,,9.79,15.25,19.01,23.22,26.17,33.47,36.35,36.07
