,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,956.0,1076.0,2841.0,4079.0,4887.0,4588.0,3069.0,3105.0,1914.0,2817.0,2489.0,2173
Expenses,1019.0,1088.0,2564.0,3564.0,4317.0,3919.0,2446.0,2349.0,1568.0,2090.0,2080.0,1800
Operating Profit,-64.0,-12.0,277.0,515.0,569.0,669.0,623.0,756.0,346.0,727.0,409.0,374
OPM %,-7.0,-1.0,10.0,13.0,12.0,15.0,20.0,24.0,18.0,26.0,16.0,17
Other Income,463.0,464.0,439.0,385.0,300.0,173.0,136.0,88.0,95.0,78.0,155.0,259
Interest,1.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,3
Depreciation,50.0,42.0,67.0,53.0,62.0,63.0,82.0,96.0,95.0,90.0,77.0,67
Profit before tax,348.0,409.0,644.0,841.0,803.0,774.0,671.0,742.0,341.0,710.0,482.0,563
Tax %,33.0,32.0,31.0,33.0,35.0,32.0,37.0,28.0,24.0,30.0,27.0,
Net Profit,235.0,279.0,444.0,562.0,524.0,528.0,423.0,535.0,258.0,500.0,352.0,425
EPS in Rs,2043.13,2424.26,3856.96,5750.08,4288.89,28.82,23.06,29.18,14.06,27.28,19.21,23.21
