,Mar 2011,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1031,1714,1695.0,2059.0,2044.0,1912.0,2141.0,2413.0,2568
Expenses,830,1261,1249.0,1507.0,1540.0,1638.0,1809.0,2081.0,2220
Operating Profit,201,452,445.0,552.0,503.0,274.0,331.0,332.0,348
OPM %,20,26,26.0,27.0,25.0,14.0,15.0,14.0,14
Other Income,14,26,46.0,54.0,39.0,16.0,29.0,-20.0,-23
Interest,56,49,49.0,57.0,62.0,48.0,57.0,86.0,102
Depreciation,69,214,211.0,240.0,283.0,308.0,308.0,281.0,272
Profit before tax,91,216,231.0,309.0,197.0,-65.0,-4.0,-55.0,-49
Tax %,12,33,33.0,32.0,20.0,-154.0,524.0,45.0,
Net Profit,80,145,155.0,210.0,159.0,-165.0,18.0,-30.0,-48
EPS in Rs,,,9.58,13.03,10.1,-10.53,1.15,-1.9,-3.04
