,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,891.0,782.0,624.0,761.0,959.0,1714.0,1268.0,1559.0,1766.0,1521.0,1468.0,2780.0,3587
Expenses,754.0,736.0,619.0,721.0,929.0,1605.0,1365.0,1550.0,1740.0,1440.0,1303.0,2529.0,3209
Operating Profit,137.0,46.0,5.0,40.0,30.0,108.0,-97.0,9.0,27.0,81.0,165.0,251.0,378
OPM %,15.0,6.0,1.0,5.0,3.0,6.0,-8.0,1.0,2.0,5.0,11.0,9.0,11
Other Income,14.0,27.0,20.0,-0.0,20.0,24.0,25.0,25.0,34.0,25.0,-61.0,34.0,29
Interest,16.0,22.0,14.0,18.0,17.0,31.0,44.0,65.0,88.0,81.0,57.0,81.0,85
Depreciation,11.0,15.0,18.0,26.0,46.0,52.0,51.0,24.0,29.0,30.0,18.0,22.0,25
Profit before tax,124.0,36.0,-7.0,-4.0,-13.0,50.0,-167.0,-56.0,-57.0,-6.0,29.0,181.0,297
Tax %,32.0,38.0,-58.0,-177.0,-52.0,45.0,12.0,59.0,36.0,-237.0,102.0,31.0,
Net Profit,84.0,22.0,-10.0,-10.0,-20.0,27.0,-147.0,-23.0,-36.0,-19.0,-1.0,126.0,213
EPS in Rs,8.29,2.35,-0.89,-0.33,-1.69,2.33,-12.43,-2.47,-2.96,-1.26,-0.03,10.89,17.47
