,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,1800.0,2115.0,2502.0,3394.0,3861.0,4004.0,5105.0,7130.0,6450.0,8823.0,13173.0,15589
Expenses,1572.0,1824.0,2116.0,2752.0,3052.0,3165.0,4069.0,5667.0,5235.0,7129.0,10310.0,12091
Operating Profit,228.0,291.0,387.0,642.0,810.0,838.0,1036.0,1462.0,1215.0,1694.0,2863.0,3498
OPM %,13.0,14.0,15.0,19.0,21.0,21.0,20.0,21.0,19.0,19.0,22.0,22
Other Income,44.0,19.0,14.0,36.0,27.0,14.0,6.0,47.0,-30.0,51.0,-18.0,80
Interest,116.0,171.0,187.0,170.0,435.0,215.0,223.0,324.0,294.0,207.0,204.0,242
Depreciation,136.0,184.0,210.0,317.0,322.0,347.0,385.0,489.0,529.0,531.0,617.0,695
Profit before tax,21.0,-46.0,4.0,191.0,79.0,291.0,434.0,696.0,363.0,1007.0,2024.0,2641
Tax %,-20.0,11.0,658.0,41.0,39.0,26.0,31.0,32.0,1.0,26.0,23.0,
Net Profit,25.0,-40.0,-20.0,113.0,48.0,214.0,300.0,472.0,357.0,746.0,1550.0,2040
EPS in Rs,4.65,-0.44,-0.22,1.25,0.34,1.7,2.38,3.61,2.53,5.34,11.53,15.39
