,Mar 2006,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,324,355.0,863.0,817.0,681.0,665.0,751.0,660.0,431.0,406.0,449.0,374
Expenses,313,333.0,821.0,812.0,653.0,615.0,686.0,632.0,400.0,377.0,437.0,383
Operating Profit,12,22.0,42.0,5.0,28.0,50.0,65.0,28.0,31.0,30.0,12.0,-9
OPM %,4,6.0,5.0,1.0,4.0,7.0,9.0,4.0,7.0,7.0,3.0,-2
Other Income,11,11.0,9.0,12.0,30.0,21.0,12.0,26.0,7.0,17.0,30.0,20
Interest,9,10.0,42.0,51.0,54.0,50.0,50.0,48.0,37.0,23.0,18.0,16
Depreciation,8,9.0,21.0,19.0,22.0,24.0,20.0,20.0,16.0,12.0,12.0,12
Profit before tax,5,14.0,-12.0,-53.0,-18.0,-4.0,7.0,-12.0,-15.0,11.0,12.0,-17
Tax %,7,21.0,27.0,-4.0,-4.0,-112.0,95.0,-22.0,-2.0,-42.0,-22.0,
Net Profit,5,11.0,-9.0,-55.0,-19.0,-9.0,0.0,-15.0,-16.0,16.0,15.0,-12
EPS in Rs,,6.69,-4.16,-25.93,-8.83,-4.02,0.15,-7.13,-7.32,7.66,6.94,-5.47
