,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,199,244.0,170.0,167.0,201.0,137.0,130.0,122
Expenses,0.0,153,202.0,158.0,137.0,154.0,120.0,136.0,115
Operating Profit,0.0,46,41.0,11.0,30.0,47.0,16.0,-6.0,7
OPM %,,23,17.0,7.0,18.0,24.0,12.0,-5.0,6
Other Income,0.0,-24,3.0,0.0,0.0,0.0,-8.0,-18.0,-18
Interest,0.0,12,11.0,8.0,8.0,2.0,0.0,4.0,2
Depreciation,0.0,8,18.0,19.0,17.0,16.0,15.0,13.0,13
Profit before tax,0.0,2,15.0,-16.0,5.0,30.0,-6.0,-42.0,-25
Tax %,,-10,19.0,25.0,23.0,23.0,13.0,9.0,
Net Profit,0.0,2,12.0,-12.0,4.0,23.0,-5.0,-39.0,-26
EPS in Rs,,,5.4,-5.26,0.89,5.6,-1.31,-7.71,-5.46
