,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2715.0,2801.0,2904.0,2802.0,2975.0,2494.0,3239.0,3474.0,3025.0,3597.0,4337.0,3899.0,3919
Expenses,2598.0,2829.0,2773.0,2728.0,2825.0,2341.0,2986.0,3237.0,2942.0,3419.0,4012.0,3530.0,3529
Operating Profit,117.0,-28.0,131.0,74.0,149.0,153.0,253.0,238.0,84.0,178.0,325.0,369.0,389
OPM %,4.0,-1.0,5.0,3.0,5.0,6.0,8.0,7.0,3.0,5.0,8.0,9.0,10
Other Income,105.0,116.0,60.0,60.0,42.0,63.0,25.0,23.0,49.0,20.0,6.0,22.0,30
Interest,111.0,162.0,127.0,76.0,56.0,55.0,48.0,60.0,41.0,39.0,65.0,49.0,45
Depreciation,45.0,51.0,54.0,53.0,57.0,63.0,65.0,71.0,72.0,71.0,66.0,64.0,63
Profit before tax,66.0,-125.0,10.0,5.0,79.0,98.0,164.0,130.0,19.0,87.0,200.0,278.0,311
Tax %,14.0,34.0,39.0,-9.0,18.0,14.0,21.0,52.0,-229.0,21.0,36.0,43.0,
Net Profit,57.0,-83.0,6.0,6.0,64.0,85.0,130.0,63.0,64.0,69.0,129.0,158.0,201
EPS in Rs,13.68,-20.02,1.47,1.43,15.48,20.38,31.17,15.19,15.35,16.56,30.96,37.96,48.27
