,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26.36,2.57,-0.73,34.15,39.31,33.96,19.01,20.34,4.59,22.51,104.52,77.84,49.61
Expenses,32.39,4.41,1.48,38.38,43.42,31.28,19.32,35.69,1.79,19.44,98.28,76.12,49.28
Operating Profit,-6.03,-1.84,-2.21,-4.23,-4.11,2.68,-0.31,-15.35,2.8,3.07,6.24,1.72,0.33
OPM %,-22.88,-71.6,,-12.39,-10.46,7.89,-1.63,-75.47,61.0,13.64,5.97,2.21,0.67
Other Income,3.36,1.03,1.66,3.95,5.73,0.0,0.1,2.91,0.01,5.67,0.04,0.01,3.89
Interest,0.02,0.01,0.01,0.0,0.0,0.03,0.03,0.01,0.0,0.03,0.04,0.04,0.04
Depreciation,0.1,0.1,0.10,0.15,0.05,0.08,0.1,0.12,0.13,0.2,0.21,0.2,0.20
Profit before tax,-2.79,-0.92,-0.66,-0.43,1.57,2.57,-0.34,-12.57,2.68,8.51,6.03,1.49,3.98
Tax %,28.67,-2.17,143.94,4.65,6.37,17.12,-2.94,0.08,79.1,25.85,-0.33,3.36,
Net Profit,-1.99,-0.94,0.29,-0.41,1.47,2.13,-0.35,-12.57,0.56,6.32,6.05,1.44,3.95
EPS in Rs,-0.51,-0.24,0.07,-0.1,0.37,0.54,-0.09,-3.19,0.14,1.6,1.53,0.37,0.43
