,2012-03-01,2013-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,57,66,1440,1440,1440,1728,1728,1728,1955,1956.0
Reserves,185,256,0,7,180,1260,1290,874,2054,
Preference Capital,0,0,200,200,200,200,200,200,200,
Borrowings,617,997,6498,7625,11546,14734,16383,20056,28179,
Other Liabilities,38,41,498,401,577,690,979,946,1129,
Total Liabilities,898,1360,8436,9473,13742,18411,20380,23604,33317,
Fixed Assets,11,11,137,194,282,280,276,244,265,
CWIP,0,0,3,4,2,21,5,6,18,
Investments,0,0,1447,1232,1527,2396,2516,4153,8510,
Other Assets,886,1349,6849,8042,11931,15715,17583,19202,24524,
Total Assets,898,1360,8436,9473,13742,18411,20380,23604,33317,
