,Mar 2012,Mar 2013,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,148,223,217.0,1468.0,1832.0,2704.0,2806.0,2813.0,4165.0,4944
Interest,59,81,109.0,607.0,725.0,1070.0,1078.0,1039.0,1467.0,1894
Expenses,93,102,111.0,922.0,1053.0,1417.0,1944.0,2557.0,1730.0,2065
Financing Profit,-3,40,-3.0,-61.0,54.0,217.0,-215.0,-783.0,968.0,986
Financing Margin %,-2,18,-1.0,-4.0,3.0,8.0,-8.0,-28.0,23.0,20
Other Income,8,11,9.0,111.0,206.0,322.0,302.0,313.0,589.0,684
Depreciation,2,3,5.0,41.0,61.0,73.0,77.0,80.0,90.0,0
Profit before tax,2,49,1.0,9.0,199.0,466.0,10.0,-550.0,1467.0,1670
Tax %,22,31,94.0,22.0,0.0,25.0,19.0,25.0,25.0,
Net Profit,2,34,0.0,7.0,199.0,350.0,8.0,-415.0,1100.0,1254
EPS in Rs,,,0.0,0.05,1.38,2.02,0.05,-2.4,5.63,6.42
