,Sep 2011,Sep 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5063.0,4344.0,6645.0,4535.0,4690.0,4399.0,5847.0,6806.0,6669.0,6666.0,5576.0,6338.0,5978
Expenses,4177.0,3885.0,6742.0,4704.0,3906.0,3548.0,5575.0,6510.0,6216.0,6503.0,5403.0,6075.0,5699
Operating Profit,887.0,459.0,-97.0,-168.0,785.0,851.0,272.0,297.0,454.0,163.0,172.0,263.0,280
OPM %,18.0,11.0,-1.0,-4.0,17.0,19.0,5.0,4.0,7.0,2.0,3.0,4.0,5
Other Income,129.0,202.0,96.0,124.0,90.0,96.0,101.0,96.0,11.0,22.0,25.0,22.0,41
Interest,664.0,667.0,1129.0,889.0,848.0,802.0,680.0,322.0,301.0,264.0,254.0,210.0,232
Depreciation,323.0,362.0,556.0,258.0,242.0,243.0,197.0,204.0,216.0,216.0,215.0,213.0,218
Profit before tax,28.0,-368.0,-1686.0,-1191.0,-216.0,-98.0,-505.0,-134.0,-52.0,-294.0,-272.0,-138.0,-129
Tax %,24.0,25.0,-1.0,-0.0,2.0,6.0,1.0,-2.0,5.0,1.0,1.0,2.0,
Net Profit,21.0,-321.0,-1626.0,-1192.0,-212.0,-92.0,-500.0,-137.0,-50.0,-291.0,-268.0,-135.0,-125
EPS in Rs,0.34,-5.01,-25.41,-14.72,-1.9,-0.81,-4.41,-1.2,-0.44,-2.57,-2.09,-1.05,-0.98
