,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,77.0,81.0,111.0,143.0,240.0,310.0,381.0,344.0,337.0,324.0,447.0,490
Expenses,76.0,79.0,109.0,140.0,233.0,301.0,372.0,338.0,328.0,317.0,436.0,478
Operating Profit,1.0,2.0,2.0,3.0,7.0,8.0,9.0,6.0,9.0,7.0,10.0,12
OPM %,1.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,1
Interest,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,3
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,0.0,0.0,0.0,0.0,5.0,6.0,7.0,7.0,8.0,7.0,8.0,9
Tax %,40.0,32.0,33.0,32.0,32.0,33.0,28.0,25.0,27.0,26.0,28.0,
Net Profit,0.0,0.0,0.0,0.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,7
EPS in Rs,0.12,0.52,0.18,0.06,1.2,0.73,0.89,1.0,1.05,0.96,1.14,1.28
