,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,11,11,11,12,12,612,612,612,616,622,623,625.0
Reserves,1446,1543,1495,1750,1831,1753,1958,1981,2484,2857,2892,2942.0
Preference Capital,0,0,30,30,30,0,0,0,0,0,0,
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0.0
Other Liabilities,104,155,196,169,209,357,206,288,291,318,345,360.0
Total Liabilities,1561,1709,1702,1931,2051,2722,2776,2881,3392,3797,3861,3927.0
Fixed Assets,20,14,7,12,251,258,256,324,301,296,305,327.0
CWIP,0,0,0,0,0,3,1,2,1,0,2,2.0
Investments,603,741,835,911,947,993,1290,1885,2550,2942,3023,3052.0
Other Assets,939,954,860,1008,854,1469,1229,671,540,559,530,547.0
Total Assets,1561,1709,1702,1931,2051,2722,2776,2881,3392,3797,3861,3927.0
