,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,733.0,774.0,951.0,1311.0,1435.0,1735.0,1647.0,1192.0,1419.0,1533.0,1512.0,1454
Expenses,432.0,434.0,484.0,787.0,837.0,1082.0,940.0,594.0,505.0,516.0,555.0,588
Operating Profit,301.0,340.0,468.0,524.0,598.0,653.0,707.0,598.0,914.0,1017.0,957.0,866
OPM %,41.0,44.0,49.0,40.0,42.0,38.0,43.0,50.0,64.0,66.0,63.0,60
Other Income,1.0,4.0,3.0,3.0,1.0,14.0,3.0,1.0,1.0,2.0,5.0,296
Interest,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,4.0,4.0,4.0,5
Depreciation,9.0,14.0,7.0,4.0,18.0,9.0,10.0,33.0,33.0,27.0,30.0,31
Profit before tax,293.0,330.0,464.0,522.0,581.0,656.0,700.0,560.0,877.0,989.0,928.0,1126
Tax %,21.0,18.0,24.0,24.0,31.0,30.0,30.0,26.0,23.0,25.0,22.0,
Net Profit,230.0,271.0,354.0,396.0,402.0,457.0,487.0,415.0,680.0,744.0,723.0,883
EPS in Rs,199.97,234.92,307.69,344.12,348.92,7.45,7.94,6.78,11.04,11.96,11.61,14.16
