,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2278.0,2331.0,3619.0,4127.0,3530.0,4475.0,4614.0,4905.0,4048.0,5733.0,7827.0,7895
Expenses,2077.0,2222.0,3405.0,3910.0,3403.0,4325.0,4353.0,4642.0,3822.0,5291.0,7027.0,7040
Operating Profit,201.0,109.0,214.0,217.0,126.0,149.0,261.0,263.0,226.0,442.0,801.0,855
OPM %,9.0,5.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,8.0,10.0,11
Other Income,532.0,547.0,563.0,760.0,765.0,612.0,664.0,600.0,474.0,420.0,713.0,901
Interest,27.0,2.0,0.0,4.0,4.0,14.0,36.0,36.0,11.0,15.0,9.0,6
Depreciation,13.0,15.0,31.0,44.0,39.0,50.0,64.0,69.0,60.0,75.0,76.0,79
Profit before tax,692.0,639.0,746.0,929.0,848.0,697.0,825.0,758.0,630.0,773.0,1429.0,1672
Tax %,29.0,35.0,34.0,39.0,37.0,37.0,37.0,46.0,24.0,24.0,25.0,
Net Profit,494.0,413.0,492.0,568.0,533.0,440.0,517.0,408.0,480.0,586.0,1073.0,1255
EPS in Rs,248.15,207.19,246.78,285.38,214.25,19.63,23.08,20.25,23.78,29.08,53.19,62.22
