,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,326.0,529.0,556.0,572.0,637.0,655.0,571.0,492.0,502.0,654.0,705.0,681
Expenses,296.0,480.0,498.0,525.0,581.0,606.0,534.0,466.0,469.0,598.0,658.0,650
Operating Profit,30.0,50.0,58.0,47.0,57.0,48.0,37.0,26.0,34.0,57.0,47.0,31
OPM %,9.0,9.0,10.0,8.0,9.0,7.0,6.0,5.0,7.0,9.0,7.0,5
Other Income,15.0,2.0,3.0,1.0,2.0,21.0,2.0,5.0,4.0,3.0,6.0,4
Interest,16.0,22.0,25.0,24.0,13.0,7.0,9.0,8.0,6.0,4.0,2.0,2
Depreciation,13.0,19.0,19.0,19.0,19.0,15.0,17.0,21.0,21.0,21.0,21.0,21
Profit before tax,17.0,11.0,17.0,5.0,26.0,47.0,14.0,3.0,11.0,35.0,30.0,12
Tax %,25.0,-21.0,44.0,56.0,43.0,15.0,34.0,-144.0,33.0,8.0,25.0,
Net Profit,13.0,13.0,10.0,2.0,15.0,40.0,9.0,7.0,8.0,32.0,22.0,9
EPS in Rs,11.98,12.77,7.25,1.5,10.59,28.0,6.51,4.98,5.35,22.31,15.52,6.13
