,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4.0
Reserves,16,7,7,8,7,7,8,11,12,11.0
Preference Capital,3,3,0,3,3,3,2,2,2,
Borrowings,0,0,3,13,19,8,16,18,26,21.0
Other Liabilities,3,4,1,17,12,11,11,14,13,29.0
Total Liabilities,23,15,15,42,41,30,39,47,54,66.0
Fixed Assets,10,0,0,9,7,7,7,7,10,16.0
CWIP,0,0,0,0,0,0,0,0,7,2.0
Investments,11,11,12,0,0,0,1,0,0,0.0
Other Assets,2,3,3,33,33,23,31,40,37,48.0
Total Assets,23,15,15,42,41,30,39,47,54,66.0
