,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3,1.0,9.0,27.0,41.0,111.0,60.0,158.0,74.0,69.0,250.0,434.0,436
Expenses,3,1.0,9.0,22.0,31.0,82.0,50.0,125.0,63.0,51.0,216.0,364.0,358
Operating Profit,0,0.0,1.0,5.0,10.0,29.0,10.0,33.0,11.0,18.0,35.0,70.0,78
OPM %,14,35.0,7.0,18.0,24.0,26.0,17.0,21.0,15.0,26.0,14.0,16.0,18
Other Income,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,4
Interest,0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,6.0,8
Depreciation,0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,5.0,7
Profit before tax,0,0.0,0.0,4.0,8.0,26.0,4.0,25.0,3.0,10.0,29.0,63.0,68
Tax %,29,33.0,30.0,33.0,34.0,35.0,50.0,22.0,60.0,26.0,28.0,31.0,
Net Profit,0,0.0,0.0,3.0,5.0,17.0,2.0,19.0,1.0,7.0,21.0,44.0,51
EPS in Rs,,0.21,0.91,4.52,2.36,7.61,0.85,8.76,0.5,3.25,9.42,19.71,22.82
