,Mar 2012,Mar 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,770.0,760.0,1080.0,1606.0,1382.0,2153.0,2257.0,2539.0,2928.0,2536.0,3386.0,4644.0,4778
Expenses,542.0,584.0,875.0,1364.0,1180.0,1743.0,1840.0,2180.0,2524.0,1947.0,2589.0,3669.0,4007
Operating Profit,228.0,176.0,204.0,241.0,203.0,410.0,416.0,359.0,404.0,590.0,797.0,975.0,771
OPM %,30.0,23.0,19.0,15.0,15.0,19.0,18.0,14.0,14.0,23.0,24.0,21.0,16
Other Income,10.0,-91.0,23.0,-228.0,-38.0,121.0,34.0,123.0,13.0,45.0,-89.0,219.0,236
Interest,35.0,42.0,69.0,73.0,262.0,172.0,212.0,237.0,231.0,251.0,373.0,421.0,536
Depreciation,71.0,100.0,133.0,221.0,203.0,255.0,277.0,304.0,381.0,422.0,417.0,527.0,512
Profit before tax,133.0,-57.0,25.0,-281.0,-301.0,105.0,-39.0,-58.0,-196.0,-39.0,-82.0,246.0,-41
Tax %,23.0,70.0,28.0,-12.0,-5.0,9.0,-15.0,44.0,21.0,-46.0,-111.0,45.0,
Net Profit,103.0,-17.0,18.0,-313.0,-317.0,96.0,-44.0,-33.0,-154.0,-56.0,-174.0,194.0,-97
EPS in Rs,7.15,-1.1,1.31,-9.78,-9.48,2.79,-1.78,-0.76,-4.39,-1.45,-5.73,4.92,-3.61
