,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.0,50.0,42.0,49.0,57.0,131.0,156.0,224.0,311.0,453.0,495
Expenses,46.0,39.0,35.0,40.0,48.0,106.0,113.0,132.0,170.0,282.0,306
Operating Profit,17.0,11.0,7.0,9.0,9.0,26.0,43.0,92.0,141.0,172.0,189
OPM %,27.0,22.0,16.0,18.0,16.0,19.0,28.0,41.0,45.0,38.0,38
Other Income,1.0,1.0,2.0,0.0,0.0,1.0,4.0,3.0,4.0,9.0,28
Interest,5.0,5.0,5.0,5.0,5.0,11.0,13.0,14.0,11.0,8.0,9
Depreciation,2.0,3.0,3.0,3.0,3.0,6.0,5.0,6.0,7.0,8.0,10
Profit before tax,10.0,4.0,1.0,1.0,1.0,10.0,28.0,75.0,127.0,165.0,198
Tax %,33.0,36.0,1.0,35.0,-23.0,26.0,26.0,25.0,26.0,25.0,
Net Profit,7.0,3.0,1.0,1.0,1.0,8.0,21.0,56.0,94.0,124.0,148
EPS in Rs,40.36,15.3,4.71,4.18,7.35,45.3,123.84,326.86,18.11,22.15,26.96
