,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,2,2,2,2,2,2,2,10,11,11
Reserves,100,102,102,103,104,131,152,206,564,1156,1190
Borrowings,34,38,38,35,32,60,61,37,9,2,3
Other Liabilities,13,15,15,13,17,84,81,84,123,265,270
Total Liabilities,149,157,157,152,154,277,295,329,707,1435,1475
Fixed Assets,32,29,26,24,23,36,33,33,47,112,121
CWIP,0,0,0,0,0,0,0,0,17,1,0
Investments,7,7,7,7,7,0,0,0,0,56,246
Other Assets,109,120,123,121,124,241,262,295,642,1266,1107
Total Assets,149,157,157,152,154,277,295,329,707,1435,1475
