,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.01,5.07,6.67,10.27,10.27,10.27,10.27
Reserves,1.13,4.25,11.01,15.79,18.13,20.47,21.77
Borrowings,2.6,0.0,8.0,17.34,19.19,18.72,21.98
Other Liabilities,5.29,1.3,1.27,1.76,3.6,2.66,3.32
Total Liabilities,9.03,10.62,26.95,45.16,51.19,52.12,57.34
Fixed Assets,0.45,0.37,0.39,0.31,0.25,0.21,0.19
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,8.58,10.25,26.56,44.85,50.94,51.91,57.15
Total Assets,9.03,10.62,26.95,45.16,51.19,52.12,57.34
