,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,153.0,194.0,240.0,281.0,236.0,369.0,422.0,483.0,451.0,415.0,453.0,460.0,445
Expenses,145.0,187.0,231.0,272.0,228.0,358.0,408.0,467.0,436.0,396.0,443.0,458.0,448
Operating Profit,8.0,6.0,9.0,9.0,8.0,11.0,14.0,16.0,15.0,19.0,10.0,2.0,-2
OPM %,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,-0
Other Income,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,12.0,8
Interest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,2
Profit before tax,9.0,9.0,9.0,10.0,9.0,11.0,13.0,15.0,12.0,16.0,10.0,11.0,3
Tax %,-19.0,-64.0,24.0,33.0,33.0,32.0,29.0,37.0,35.0,34.0,21.0,24.0,
Net Profit,10.0,15.0,7.0,6.0,6.0,8.0,9.0,9.0,8.0,11.0,8.0,8.0,2
EPS in Rs,1.9,2.85,1.3,1.19,1.11,1.42,1.67,1.72,1.51,1.98,1.43,1.36,0.36
