,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5454.0,5689.0,3225.0,1739.0,2265.0,3292.0,1231.0,780.0,876.0,721.0,732
Expenses,5276.0,5525.0,3386.0,1603.0,2578.0,3498.0,1083.0,831.0,867.0,528.0,471
Operating Profit,178.0,164.0,-161.0,136.0,-313.0,-206.0,148.0,-51.0,9.0,193.0,261
OPM %,3.0,3.0,-5.0,8.0,-14.0,-6.0,12.0,-7.0,1.0,27.0,36
Other Income,-114.0,90.0,83.0,137.0,528.0,48.0,65.0,214.0,247.0,158.0,94
Interest,145.0,93.0,104.0,78.0,85.0,65.0,30.0,8.0,3.0,0.0,0
Depreciation,15.0,8.0,12.0,12.0,12.0,15.0,17.0,19.0,21.0,22.0,22
Profit before tax,-95.0,152.0,-194.0,183.0,117.0,-237.0,167.0,136.0,233.0,329.0,333
Tax %,35.0,32.0,-27.0,24.0,34.0,-29.0,42.0,17.0,15.0,26.0,
Net Profit,-62.0,103.0,-247.0,139.0,77.0,-307.0,97.0,113.0,199.0,242.0,230
EPS in Rs,-70.48,117.51,-280.8,79.06,21.94,-43.62,13.78,16.05,28.28,34.37,32.66
