,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,559.0,699.0,730.0,822.0,868.0,1008.0,1174.0,1134.0,1019.0,1560.0,1398.0,1318
Expenses,445.0,581.0,647.0,726.0,783.0,911.0,1057.0,1038.0,940.0,1393.0,1346.0,1271
Operating Profit,113.0,118.0,83.0,96.0,85.0,97.0,117.0,96.0,78.0,167.0,53.0,48
OPM %,20.0,17.0,11.0,12.0,10.0,10.0,10.0,8.0,8.0,11.0,4.0,4
Other Income,1.0,1.0,3.0,1.0,3.0,6.0,9.0,18.0,4.0,6.0,6.0,11
Interest,38.0,38.0,38.0,38.0,44.0,60.0,67.0,72.0,62.0,53.0,58.0,58
Depreciation,36.0,35.0,28.0,30.0,30.0,31.0,34.0,33.0,33.0,34.0,35.0,37
Profit before tax,41.0,46.0,20.0,29.0,15.0,11.0,25.0,10.0,-12.0,86.0,-33.0,-37
Tax %,33.0,31.0,33.0,33.0,22.0,15.0,6.0,41.0,14.0,34.0,32.0,
Net Profit,27.0,32.0,13.0,20.0,12.0,10.0,24.0,6.0,-10.0,56.0,-23.0,-25
EPS in Rs,4.23,4.89,2.05,3.02,1.78,1.36,3.24,0.37,-1.7,8.09,-4.56,-4.75
