,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.78,7.88,6.99,7.64,8.58,8.63,7.62,9.17,8.9,4.48,7.84,12.87,13.27
Expenses,6.53,6.85,6.57,6.69,7.03,7.28,6.83,7.64,8.18,3.99,6.93,11.87,11.18
Operating Profit,1.25,1.03,0.42,0.95,1.55,1.35,0.79,1.53,0.72,0.49,0.91,1.0,2.09
OPM %,16.07,13.07,6.01,12.43,18.07,15.64,10.37,16.68,8.09,10.94,11.61,7.77,15.75
Other Income,0.39,0.11,0.05,0.09,0.07,0.09,0.16,0.1,0.44,0.06,0.19,0.32,0.00
Interest,0.2,0.24,0.43,0.5,0.41,0.33,0.27,0.54,0.58,0.55,0.49,0.7,0.68
Depreciation,0.32,0.34,0.37,0.5,0.42,0.34,0.31,0.45,0.54,0.52,0.47,0.48,0.48
Profit before tax,1.12,0.56,-0.33,0.04,0.79,0.77,0.37,0.64,0.04,-0.52,0.14,0.14,0.93
Tax %,38.39,17.86,27.27,-400.0,36.71,20.78,10.81,32.81,-150.0,23.08,-21.43,100.0,
Net Profit,0.69,0.46,-0.23,0.21,0.5,0.61,0.32,0.44,0.09,-0.39,0.17,-0.01,0.80
EPS in Rs,1.5,1.0,-0.58,0.53,1.26,1.54,0.81,1.11,0.23,-0.98,0.43,-0.03,2.02
