,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,591.0,341.0,318.0,263.0,206.0,141.0,120.0,365.0,169.0,25.0,219.0,698.0,752
Expenses,570.0,337.0,277.0,247.0,265.0,224.0,358.0,466.0,405.0,134.0,317.0,1413.0,1405
Operating Profit,20.0,4.0,41.0,17.0,-59.0,-83.0,-238.0,-101.0,-235.0,-109.0,-98.0,-715.0,-653
OPM %,3.0,1.0,13.0,6.0,-29.0,-59.0,-199.0,-28.0,-139.0,-444.0,-45.0,-102.0,-87
Other Income,102.0,21.0,27.0,29.0,140.0,142.0,74.0,-34.0,97.0,282.0,527.0,709.0,999
Interest,7.0,18.0,38.0,53.0,86.0,96.0,119.0,160.0,261.0,334.0,286.0,54.0,78
Depreciation,8.0,14.0,8.0,14.0,14.0,11.0,6.0,2.0,1.0,1.0,1.0,0.0,0
Profit before tax,108.0,-7.0,22.0,-21.0,-19.0,-47.0,-289.0,-296.0,-401.0,-162.0,142.0,-61.0,267
Tax %,15.0,89.0,27.0,112.0,-19.0,-57.0,-4.0,17.0,-10.0,-3.0,85.0,-49.0,
Net Profit,92.0,-2.0,13.0,8.0,-23.0,-74.0,-301.0,-247.0,-440.0,-167.0,22.0,-90.0,204
EPS in Rs,3.55,0.14,0.47,0.02,-0.76,-2.45,-10.3,-10.9,-17.2,-6.98,1.04,-2.57,-2.59
