,Dec 2011,Dec 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1490.0,1653.0,2276.0,2289.0,2614.0,2903.0,3298.0,3679.0,4093.0,4310.0,4913.0,5349.0,5638
Expenses,1315.0,1451.0,2009.0,1977.0,2250.0,2505.0,2774.0,3074.0,3336.0,3388.0,3832.0,4143.0,4310
Operating Profit,176.0,202.0,267.0,312.0,365.0,398.0,525.0,605.0,757.0,922.0,1082.0,1206.0,1328
OPM %,12.0,12.0,12.0,14.0,14.0,14.0,16.0,16.0,18.0,21.0,22.0,23.0,24
Other Income,19.0,33.0,49.0,48.0,50.0,57.0,117.0,113.0,114.0,81.0,83.0,154.0,205
Interest,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,9.0,18.0,19.0,16.0,14
Depreciation,15.0,19.0,22.0,15.0,14.0,16.0,16.0,17.0,60.0,58.0,66.0,70.0,70
Profit before tax,180.0,215.0,295.0,344.0,398.0,436.0,621.0,699.0,803.0,926.0,1080.0,1274.0,1449
Tax %,33.0,33.0,33.0,34.0,36.0,37.0,35.0,36.0,26.0,25.0,26.0,25.0,
Net Profit,120.0,145.0,198.0,229.0,255.0,277.0,401.0,450.0,593.0,691.0,799.0,949.0,1081
EPS in Rs,56.66,68.1,93.39,107.75,120.12,130.19,188.82,211.93,279.04,325.04,375.87,446.8,508.93
