,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,113.0,99.0,76.0,81.0,70.0,84.0,106.0,124.0,92.0,82.0,129.0,160.0,153
Expenses,104.0,89.0,68.0,77.0,69.0,77.0,100.0,118.0,95.0,75.0,119.0,156.0,157
Operating Profit,9.0,9.0,8.0,3.0,0.0,8.0,6.0,6.0,-3.0,7.0,10.0,4.0,-4
OPM %,8.0,9.0,10.0,4.0,0.0,9.0,5.0,5.0,-3.0,9.0,8.0,3.0,-2
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,-1.0,4.0,-11.0,124
Interest,4.0,4.0,5.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,21.0,24.0,20
Depreciation,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2
Profit before tax,2.0,4.0,1.0,-8.0,-13.0,-7.0,-11.0,-10.0,-27.0,-14.0,-10.0,-33.0,98
Tax %,21.0,45.0,55.0,-0.0,50.0,0.0,-1.0,-7.0,-6.0,-2.0,0.0,0.0,
Net Profit,2.0,2.0,0.0,-8.0,-6.0,-7.0,-11.0,-11.0,-29.0,-14.0,-10.0,-33.0,98
EPS in Rs,3.35,3.01,0.63,-11.37,-8.56,-9.54,-14.89,-15.13,-38.79,-18.77,-13.04,-45.31,133.64
