,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,939.0,854.0,831.0,885.0,832.0,716.0,610.0,595.0,460.0,327.0,411.0,384.0,391
Expenses,854.0,888.0,845.0,883.0,813.0,692.0,606.0,596.0,506.0,376.0,450.0,421.0,417
Operating Profit,85.0,-34.0,-14.0,2.0,19.0,24.0,4.0,-2.0,-46.0,-49.0,-39.0,-37.0,-26
OPM %,9.0,-4.0,-2.0,0.0,2.0,3.0,1.0,-0.0,-10.0,-15.0,-10.0,-10.0,-7
Other Income,-34.0,-0.0,2.0,2.0,-1.0,2.0,253.0,2.0,28.0,-3.0,7.0,-11.0,-2
Interest,75.0,154.0,150.0,50.0,12.0,8.0,14.0,22.0,23.0,54.0,64.0,73.0,84
Depreciation,33.0,42.0,47.0,70.0,63.0,50.0,81.0,39.0,31.0,31.0,30.0,29.0,29
Profit before tax,-57.0,-231.0,-209.0,-116.0,-57.0,-32.0,162.0,-61.0,-71.0,-136.0,-126.0,-151.0,-141
Tax %,-0.0,-2.0,-1.0,-2.0,-2.0,-4.0,-14.0,2.0,-2.0,-3.0,0.0,-0.0,
Net Profit,-57.0,-236.0,-211.0,-118.0,-58.0,-34.0,185.0,-60.0,-72.0,-140.0,-126.0,-151.0,-141
EPS in Rs,-17.44,-72.28,-38.59,-21.82,-11.0,-6.1,26.29,-7.47,-10.05,-19.05,-17.55,-21.05,-19.62
