,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,67,67,67,79,79,79.0
Reserves,2433,1845,-417,1626,1779,1742.0
Preference Capital,0,1207,1184,0,0,
Borrowings,253,82,943,882,1019,1286.0
Other Liabilities,1049,2113,3893,3015,2959,2600.0
Total Liabilities,3802,4108,4487,5602,5837,5707.0
Fixed Assets,2108,2174,3148,3259,3186,3432.0
CWIP,117,8,25,34,402,467.0
Investments,1159,1458,0,0,0,0.0
Other Assets,418,467,1313,2309,2249,1807.0
Total Assets,3802,4108,4487,5602,5837,5707.0
