,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,63.0,80.0,106.0,127.0,174.0,181.0,196.0,252.0,276.0,310.0,484.0,594.0,589
Expenses,55.0,66.0,87.0,103.0,143.0,154.0,169.0,209.0,229.0,243.0,379.0,484.0,478
Operating Profit,8.0,14.0,19.0,24.0,31.0,27.0,27.0,42.0,48.0,67.0,105.0,110.0,110
OPM %,13.0,17.0,18.0,19.0,18.0,15.0,14.0,17.0,17.0,22.0,22.0,18.0,19
Other Income,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,5.0,8.0,10.0,2.0,4
Interest,3.0,4.0,5.0,8.0,9.0,11.0,8.0,12.0,10.0,8.0,11.0,17.0,17
Depreciation,4.0,4.0,5.0,4.0,5.0,6.0,7.0,9.0,12.0,13.0,18.0,26.0,29
Profit before tax,2.0,6.0,10.0,13.0,18.0,13.0,17.0,24.0,30.0,54.0,86.0,68.0,68
Tax %,13.0,22.0,25.0,32.0,32.0,37.0,28.0,28.0,25.0,27.0,24.0,22.0,
Net Profit,1.0,5.0,8.0,9.0,12.0,8.0,12.0,17.0,23.0,39.0,65.0,53.0,52
EPS in Rs,0.73,2.17,3.43,3.75,4.21,2.8,4.61,6.65,8.27,14.65,24.26,19.58,19.22
