,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,192.0,242.0,260.0,377.0,504.0,353.0,470.0,768.0,1337.0,1265
Expenses,187.0,227.0,240.0,354.0,488.0,344.0,452.0,726.0,1285.0,1200
Operating Profit,6.0,15.0,20.0,22.0,16.0,9.0,18.0,42.0,51.0,66
OPM %,3.0,6.0,8.0,6.0,3.0,2.0,4.0,5.0,4.0,5
Other Income,3.0,3.0,4.0,5.0,5.0,6.0,8.0,9.0,8.0,5
Interest,5.0,6.0,8.0,6.0,9.0,10.0,8.0,11.0,20.0,23
Depreciation,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,5
Profit before tax,1.0,9.0,13.0,18.0,9.0,2.0,15.0,36.0,35.0,42
Tax %,22.0,30.0,28.0,31.0,11.0,80.0,16.0,24.0,22.0,
Net Profit,1.0,6.0,9.0,13.0,8.0,0.0,12.0,27.0,27.0,34
EPS in Rs,0.02,0.16,0.24,0.3,0.2,0.01,0.29,0.65,0.57,0.68
