,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.86,33.86,30.27,12.24,1.35,2.84,4.09,0.83,0.00,0.00,0.03,0.00,0.0
Expenses,18.55,31.14,27.43,11.43,1.84,9.72,4.62,1.56,0.67,4.14,0.71,0.95,0.9400000000000001
Operating Profit,1.31,2.72,2.84,0.81,-0.49,-6.88,-0.53,-0.73,-0.67,-4.14,-0.68,-0.95,-0.9400000000000001
OPM %,6.6,8.03,9.38,6.62,-36.3,-242.25,-12.96,-87.95,,,-2266.67,,
Other Income,0.18,0.27,0.01,0.0,0.0,0.03,0.06,0.02,0.01,0.20,0.26,0.02,0.11
Interest,0.94,1.4,1.2,1.08,0.08,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0
Depreciation,0.53,0.58,0.68,0.65,0.62,0.59,0.59,0.59,0.57,0.56,0.51,0.15,0.16
Profit before tax,0.02,1.01,0.97,-0.92,-1.19,-7.44,-1.06,-1.3,-1.23,-4.50,-0.93,-1.08,-0.99
Tax %,50.0,50.5,50.52,26.09,0.84,0.81,17.92,3.85,5.69,1.78,84.95,1.85,
Net Profit,0.0,0.5,0.46,-0.68,-1.19,-7.39,-0.87,-1.25,-1.17,-4.42,-0.14,-1.05,-0.9500000000000001
EPS in Rs,0.0,0.53,0.31,-0.45,-0.62,-3.87,-0.46,-0.65,-0.61,-2.31,-0.07,-0.55,-0.5
