,Sep 2011,Sep 2012,Sep 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5.17,1.42,2.44,1.6,0.94,1.01,4.37,2.14,1.23,0.01,0.01,1.07,1.12
Expenses,2.82,4.64,5.63,7.28,2.46,4.73,2.73,4.4,1.26,0.73,1.37,4.58,2.05
Operating Profit,2.35,-3.22,-3.19,-5.68,-1.52,-3.72,1.64,-2.26,-0.03,-0.72,-1.36,-3.51,-0.93
OPM %,45.45,-226.76,-130.74,-355.0,-161.7,-368.32,37.53,-105.61,-2.44,-7200.0,-13600.0,-328.04,-83.04
Other Income,0.01,0.77,0.32,0.07,0.04,0.11,-1.16,0.0,0.02,0.02,0.01,0.01,0.02
Interest,0.01,0.02,0.05,0.09,0.06,0.03,0.01,0.01,0.02,0.04,0.01,0.0,0.00
Depreciation,4.08,1.03,1.66,1.71,1.52,0.93,0.34,0.01,0.01,0.01,0.01,0.01,0.00
Profit before tax,-1.73,-3.5,-4.58,-7.41,-3.06,-4.57,0.13,-2.28,-0.04,-0.75,-1.37,-3.51,-0.91
Tax %,-9.25,-1.43,4.8,-1.89,4.9,0.0,23.08,0.0,0.0,4.0,2.19,0.0,
Net Profit,-1.89,-3.54,-4.37,-7.54,-2.91,-4.58,0.11,-2.28,-0.04,-0.72,-1.33,-3.5,-0.91
EPS in Rs,-0.02,-0.04,-0.05,-0.09,-0.04,-0.06,0.0,-0.03,-0.0,-0.01,-0.02,-0.04,-0.01
