,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.42,0.08,0.05,0.04,0.17,1.13,0.08,0.19,0.27,0.3,0.26,0.2,0.19
Expenses,0.22,0.18,0.18,0.2,0.24,0.46,0.26,0.28,0.42,0.25,0.28,0.29,0.22
Operating Profit,0.2,-0.1,-0.13,-0.16,-0.07,0.67,-0.18,-0.09,-0.15,0.05,-0.02,-0.09,-0.03
OPM %,47.62,-125.0,-260.0,-400.0,-41.18,59.29,-225.0,-47.37,-55.56,16.67,-7.69,-45.0,-15.79
Other Income,1.91,-0.13,0.49,0.52,1.11,0.71,2.16,1.06,7.03,0.84,1.84,0.09,0.00
Interest,0.0,0.0,0.0,0.05,0.04,0.05,0.3,0.06,0.14,0.01,1.2,0.17,0.20
Depreciation,0.1,0.1,0.1,0.17,0.15,0.07,0.07,0.07,0.06,0.05,0.04,0.02,0.00
Profit before tax,2.01,-0.33,0.26,0.14,0.85,1.26,1.61,0.84,6.68,0.83,0.58,-0.19,-0.23
Tax %,0.0,0.0,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,2.02,-0.32,0.22,0.14,0.85,1.27,1.62,0.84,6.68,0.83,0.58,-0.19,-0.23
EPS in Rs,2.41,-0.38,0.26,0.17,1.01,1.52,1.93,1.0,7.97,0.99,0.69,-0.23,-0.28
