,Sep 2012,Jun 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,129.0,76.0,92.0,150.0,207.0,218.0,159.0,5.0,2.0,1.0,45.0,23.0,37
Expenses,98.0,69.0,88.0,140.0,163.0,216.0,163.0,25.0,19.0,3.0,38.0,21.0,29
Operating Profit,31.0,6.0,4.0,11.0,44.0,2.0,-4.0,-20.0,-17.0,-2.0,7.0,2.0,8
OPM %,24.0,8.0,4.0,7.0,21.0,1.0,-3.0,-407.0,-919.0,-150.0,15.0,7.0,21
Other Income,-61.0,4.0,-53.0,4.0,-193.0,2.0,-95.0,0.0,1.0,3.0,1.0,2.0,7
Interest,27.0,13.0,9.0,7.0,0.0,29.0,24.0,0.0,0.0,0.0,2.0,1.0,1
Depreciation,8.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,3.0,2.0,2
Profit before tax,-65.0,-7.0,-63.0,0.0,-157.0,-32.0,-132.0,-27.0,-24.0,-5.0,3.0,0.0,12
Tax %,2.0,-102.0,29.0,-8900.0,29.0,-9.0,-46.0,0.0,0.0,0.0,0.0,0.0,
Net Profit,-63.0,-15.0,-45.0,2.0,-111.0,-35.0,-191.0,-27.0,-24.0,-5.0,3.0,0.0,12
EPS in Rs,-6.19,-1.43,-4.4,0.15,-6.67,-1.58,-8.69,-1.25,-1.09,-0.25,0.14,0.01,0.52
