,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,152.55,164.01,156.39,139.69,136.47,136.86,118.74,80.8,33.58,14.79,26.78,38.38,34.69
Expenses,120.22,125.2,118.72,111.06,114.93,112.35,141.31,123.01,49.13,17.53,35.86,33.7,30.95
Operating Profit,32.33,38.81,37.67,28.63,21.54,24.51,-22.57,-42.21,-15.55,-2.74,-9.08,4.68,3.74
OPM %,21.19,23.66,24.09,20.5,15.78,17.91,-19.01,-52.24,-46.31,-18.53,-33.91,12.19,10.78
Other Income,1.39,2.75,1.95,1.97,2.25,2.8,18.18,0.39,20.31,-2.28,-8.82,3.81,4.35
Interest,15.56,21.04,21.29,21.42,18.72,15.75,3.42,1.54,1.28,1.34,1.86,1.87,1.48
Depreciation,12.78,12.93,12.84,21.11,20.51,19.46,4.94,2.75,3.06,2.0,3.63,5.18,5.14
Profit before tax,5.38,7.59,5.49,-11.93,-15.44,-7.9,-12.75,-46.11,0.42,-8.36,-23.39,1.44,1.47
Tax %,94.05,61.0,66.3,6.12,1.3,16.2,104.24,-17.65,-104.76,1.44,12.87,5.56,
Net Profit,0.32,2.96,1.85,-11.21,-15.24,-6.62,0.54,-54.25,0.86,-8.25,-20.37,1.36,1.40
EPS in Rs,0.11,1.01,0.63,-3.83,-5.2,-2.26,0.18,-18.52,0.29,-2.82,-6.96,0.46,0.47
