,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,668.0,732.0,803.0,910.0,1075.0,1217.0,1285.0,800.0,1343.0,2127.0,2281
Expenses,546.0,600.0,663.0,758.0,848.0,880.0,930.0,625.0,930.0,1447.0,1590
Operating Profit,122.0,132.0,140.0,152.0,227.0,337.0,355.0,175.0,412.0,680.0,691
OPM %,18.0,18.0,17.0,17.0,21.0,28.0,28.0,22.0,31.0,32.0,30
Other Income,3.0,6.0,7.0,9.0,8.0,19.0,23.0,76.0,55.0,53.0,64
Interest,1.0,1.0,1.0,0.0,0.0,34.0,40.0,45.0,50.0,63.0,73
Depreciation,11.0,12.0,13.0,16.0,20.0,94.0,121.0,122.0,134.0,181.0,212
Profit before tax,113.0,125.0,133.0,144.0,215.0,228.0,218.0,85.0,283.0,489.0,470
Tax %,34.0,34.0,34.0,35.0,34.0,34.0,27.0,23.0,25.0,26.0,
Net Profit,75.0,82.0,87.0,95.0,142.0,153.0,161.0,65.0,214.0,365.0,343
EPS in Rs,50.63,55.83,57.67,61.8,94.39,11.13,11.8,2.57,7.79,13.3,12.51
