,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,52.0,64.0,68.0,63.0,73.0,88.0,87.0,97.0,113.0,118.0,139.0,176.0,207
Expenses,48.0,59.0,60.0,61.0,68.0,79.0,84.0,83.0,94.0,95.0,111.0,145.0,180
Operating Profit,3.0,6.0,7.0,1.0,5.0,9.0,3.0,14.0,18.0,23.0,28.0,31.0,28
OPM %,7.0,9.0,11.0,2.0,7.0,10.0,4.0,14.0,16.0,19.0,20.0,18.0,13
Other Income,5.0,11.0,5.0,10.0,4.0,10.0,8.0,6.0,6.0,7.0,10.0,8.0,10
Interest,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1
Depreciation,2.0,3.0,2.0,3.0,4.0,4.0,6.0,7.0,6.0,7.0,8.0,8.0,8
Profit before tax,7.0,14.0,10.0,7.0,5.0,13.0,4.0,12.0,18.0,23.0,30.0,31.0,30
Tax %,29.0,36.0,20.0,31.0,49.0,24.0,20.0,16.0,25.0,-6.0,24.0,31.0,
Net Profit,5.0,9.0,8.0,5.0,2.0,10.0,3.0,10.0,13.0,24.0,23.0,22.0,21
EPS in Rs,1.82,3.33,2.88,1.92,0.87,3.62,1.16,3.72,4.8,8.73,8.06,7.62,7.41
