,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,1301.0,1573.0,1809.0,1977.0,2193.0,2367.0,2460.0,2771.0,3071.0,2902.0,2957.0,2770.0,2829
Expenses,1141.0,1261.0,1411.0,1639.0,1817.0,1832.0,1921.0,2146.0,2403.0,2186.0,2194.0,2066.0,2046
Operating Profit,160.0,312.0,398.0,339.0,376.0,535.0,538.0,625.0,667.0,716.0,762.0,704.0,784
OPM %,12.0,20.0,22.0,17.0,17.0,23.0,22.0,23.0,22.0,25.0,26.0,25.0,28
Other Income,156.0,41.0,83.0,131.0,218.0,66.0,79.0,88.0,33.0,45.0,564.0,204.0,105
Interest,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2
Depreciation,31.0,90.0,92.0,97.0,113.0,119.0,102.0,103.0,100.0,82.0,67.0,42.0,39
Profit before tax,284.0,262.0,388.0,373.0,481.0,480.0,515.0,610.0,600.0,677.0,1258.0,864.0,847
Tax %,33.0,32.0,32.0,29.0,33.0,37.0,37.0,38.0,31.0,29.0,25.0,28.0,
Net Profit,191.0,177.0,265.0,264.0,322.0,304.0,326.0,381.0,414.0,478.0,944.0,621.0,596
EPS in Rs,83.01,76.71,115.14,114.46,139.6,132.09,141.55,165.26,179.85,207.38,410.06,269.47,258.96
