,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1613.0,1661.0,1707.0,2404.0,2188.0,2410.0,2690.0,3175.0,3290.0,3043.0,2948.0,3448.0,3904
Expenses,1468.0,1538.0,1589.0,2192.0,1967.0,2121.0,2319.0,2668.0,2649.0,2451.0,2512.0,2926.0,3376
Operating Profit,145.0,123.0,118.0,212.0,221.0,289.0,371.0,506.0,641.0,592.0,436.0,521.0,528
OPM %,9.0,7.0,7.0,9.0,10.0,12.0,14.0,16.0,19.0,19.0,15.0,15.0,14
Other Income,16.0,11.0,19.0,-18.0,24.0,37.0,29.0,71.0,97.0,84.0,82.0,128.0,127
Interest,1.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0,10.0,9.0,9.0,6.0,3
Depreciation,15.0,14.0,14.0,17.0,15.0,16.0,15.0,16.0,41.0,49.0,52.0,52.0,54
Profit before tax,146.0,119.0,123.0,177.0,226.0,307.0,381.0,555.0,687.0,618.0,458.0,591.0,598
Tax %,26.0,29.0,30.0,36.0,38.0,45.0,34.0,35.0,28.0,26.0,26.0,26.0,
Net Profit,107.0,85.0,86.0,114.0,141.0,169.0,250.0,359.0,491.0,460.0,339.0,438.0,443
EPS in Rs,121.18,96.33,97.45,129.16,159.69,191.65,282.45,405.86,555.88,520.32,383.57,495.4,501.50
