,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,223.0,354.0,488.0,625.0,701.0,687.0,626.0,700.0,726.0,711.0,904.0,1171.0,1191
Expenses,212.0,334.0,466.0,592.0,667.0,664.0,611.0,657.0,685.0,672.0,851.0,1059.0,1072
Operating Profit,11.0,19.0,22.0,33.0,34.0,23.0,16.0,43.0,40.0,38.0,53.0,113.0,118
OPM %,5.0,6.0,4.0,5.0,5.0,3.0,2.0,6.0,6.0,5.0,6.0,10.0,10
Other Income,1.0,1.0,1.0,2.0,1.0,2.0,2.0,-4.0,12.0,6.0,6.0,6.0,10
Interest,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1
Depreciation,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,5.0,5
Profit before tax,10.0,18.0,20.0,32.0,33.0,23.0,16.0,37.0,48.0,40.0,54.0,113.0,122
Tax %,30.0,32.0,33.0,34.0,35.0,35.0,34.0,37.0,29.0,26.0,26.0,26.0,
Net Profit,7.0,12.0,14.0,21.0,22.0,15.0,10.0,24.0,34.0,29.0,40.0,84.0,90
EPS in Rs,2.35,4.11,4.53,6.01,6.06,4.3,2.93,6.63,9.6,8.26,11.4,23.75,25.48
