,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,233.0,247.0,227.0,263.0,292.0,340.0,358.0,362.0,323.0,251.0,338.0,407.0,461
Expenses,193.0,211.0,196.0,224.0,241.0,285.0,306.0,312.0,276.0,230.0,294.0,343.0,393
Operating Profit,40.0,36.0,31.0,39.0,51.0,55.0,51.0,51.0,46.0,21.0,44.0,63.0,68
OPM %,17.0,15.0,13.0,15.0,17.0,16.0,14.0,14.0,14.0,8.0,13.0,16.0,15
Other Income,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,8.0,6.0,6.0,7.0,31
Interest,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,9.0,9
Profit before tax,37.0,32.0,27.0,38.0,48.0,51.0,48.0,50.0,50.0,21.0,43.0,61.0,90
Tax %,32.0,32.0,34.0,35.0,34.0,36.0,34.0,36.0,30.0,27.0,25.0,25.0,
Net Profit,25.0,22.0,18.0,25.0,32.0,33.0,32.0,32.0,35.0,15.0,33.0,46.0,69
EPS in Rs,39.58,34.17,27.9,38.5,49.68,51.8,49.43,50.17,54.07,24.18,51.15,71.98,107.94
