,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,138.0,157.0,213.0,298.0,288.0,291.0,324.0,399.0,523.0,436.0,513.0,701.0,697
Expenses,129.0,145.0,195.0,268.0,249.0,250.0,272.0,341.0,445.0,346.0,431.0,638.0,627
Operating Profit,9.0,12.0,18.0,31.0,38.0,41.0,52.0,58.0,78.0,89.0,82.0,63.0,69
OPM %,7.0,7.0,9.0,10.0,13.0,14.0,16.0,14.0,15.0,21.0,16.0,9.0,10
Other Income,2.0,3.0,5.0,4.0,1.0,2.0,2.0,4.0,2.0,5.0,14.0,8.0,9
Interest,4.0,4.0,7.0,7.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,2
Depreciation,4.0,5.0,7.0,10.0,10.0,11.0,11.0,12.0,14.0,14.0,14.0,14.0,14
Profit before tax,3.0,6.0,10.0,18.0,23.0,27.0,39.0,47.0,64.0,78.0,81.0,55.0,62
Tax %,25.0,40.0,40.0,33.0,38.0,38.0,36.0,36.0,23.0,26.0,25.0,25.0,
Net Profit,3.0,3.0,6.0,12.0,14.0,17.0,25.0,30.0,49.0,58.0,61.0,42.0,46
EPS in Rs,1.43,1.83,3.23,6.82,7.9,9.35,13.93,16.74,27.29,32.06,33.64,22.99,25.67
