,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,283.0,296.0,318.0,345.0,361.0,416.0,447.0,494.0,481.0,415.0,613.0,803.0,722
Expenses,242.0,245.0,270.0,306.0,313.0,352.0,373.0,412.0,437.0,390.0,549.0,694.0,612
Operating Profit,40.0,51.0,49.0,39.0,47.0,64.0,74.0,82.0,44.0,25.0,64.0,109.0,110
OPM %,14.0,17.0,15.0,11.0,13.0,15.0,17.0,17.0,9.0,6.0,10.0,14.0,15
Other Income,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1
Interest,20.0,17.0,14.0,10.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,4
Depreciation,11.0,11.0,12.0,10.0,10.0,11.0,12.0,13.0,14.0,14.0,14.0,15.0,16
Profit before tax,11.0,25.0,25.0,20.0,32.0,46.0,58.0,62.0,25.0,6.0,45.0,91.0,92
Tax %,34.0,33.0,40.0,37.0,39.0,30.0,35.0,36.0,-9.0,19.0,26.0,25.0,
Net Profit,8.0,16.0,15.0,13.0,19.0,32.0,38.0,40.0,27.0,5.0,33.0,68.0,68
EPS in Rs,3.07,6.66,6.19,5.19,7.88,13.16,15.39,15.07,10.25,1.87,11.95,22.66,22.94
