,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1602.0,2051.0,2882.0,3143.0,3360.0,3145.0,3246.0,4120.0,4499.0,3992.0,4211.0,5363.0,5443
Expenses,1372.0,1758.0,2441.0,2617.0,2913.0,2502.0,2472.0,3271.0,3629.0,3170.0,3549.0,4424.0,4574
Operating Profit,230.0,293.0,441.0,526.0,447.0,644.0,774.0,850.0,870.0,822.0,662.0,939.0,869
OPM %,14.0,14.0,15.0,17.0,13.0,20.0,24.0,21.0,19.0,21.0,16.0,18.0,16
Other Income,-19.0,19.0,20.0,2.0,61.0,10.0,18.0,15.0,23.0,23.0,43.0,92.0,121
Interest,72.0,78.0,76.0,81.0,67.0,55.0,69.0,68.0,62.0,24.0,13.0,15.0,14
Depreciation,45.0,51.0,58.0,53.0,50.0,61.0,68.0,64.0,73.0,72.0,74.0,76.0,78
Profit before tax,95.0,184.0,326.0,394.0,391.0,538.0,655.0,733.0,758.0,749.0,617.0,941.0,899
Tax %,23.0,30.0,22.0,18.0,25.0,26.0,34.0,31.0,26.0,25.0,26.0,26.0,
Net Profit,73.0,130.0,255.0,322.0,293.0,399.0,434.0,503.0,558.0,559.0,459.0,701.0,671
EPS in Rs,3.0,5.37,10.84,13.67,12.45,16.97,18.46,21.37,23.71,23.74,19.52,29.78,28.52
