,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,527.0,755.0,991.0,994.0,1348.0,1479.0,1620.0,2044.0,2633.0,3463.0,4401.0,3617.0,3606
Expenses,394.0,519.0,630.0,678.0,845.0,854.0,1085.0,1338.0,1678.0,2161.0,2890.0,2598.0,2546
Operating Profit,133.0,236.0,361.0,316.0,502.0,625.0,535.0,706.0,955.0,1302.0,1511.0,1019.0,1060
OPM %,25.0,31.0,36.0,32.0,37.0,42.0,33.0,35.0,36.0,38.0,34.0,28.0,29
Other Income,14.0,5.0,9.0,30.0,37.0,34.0,49.0,66.0,139.0,135.0,224.0,184.0,120
Interest,3.0,13.0,13.0,17.0,16.0,6.0,4.0,4.0,7.0,3.0,5.0,7.0,7
Depreciation,11.0,15.0,28.0,57.0,63.0,74.0,78.0,82.0,95.0,99.0,110.0,147.0,154
Profit before tax,133.0,213.0,327.0,272.0,459.0,578.0,502.0,686.0,993.0,1335.0,1619.0,1048.0,1018
Tax %,24.0,26.0,32.0,23.0,32.0,28.0,36.0,34.0,22.0,25.0,25.0,26.0,
Net Profit,101.0,158.0,224.0,209.0,314.0,414.0,321.0,452.0,773.0,997.0,1212.0,776.0,752
EPS in Rs,86.09,134.45,190.4,133.53,202.4,267.01,207.24,291.65,49.88,60.94,73.78,47.11,45.66
