,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2956.0,1545.0,1972.0,1506.0,1220.0,1702.0,2389.0,3077.0,2912.0,2785.0,4692.0,6125.0,6290
Expenses,2905.0,1624.0,1946.0,1537.0,1379.0,1815.0,2482.0,3054.0,2876.0,2689.0,4484.0,5795.0,5738
Operating Profit,50.0,-80.0,26.0,-31.0,-159.0,-113.0,-93.0,24.0,36.0,96.0,209.0,330.0,553
OPM %,2.0,-5.0,1.0,-2.0,-13.0,-7.0,-4.0,1.0,1.0,3.0,4.0,5.0,9
Other Income,25.0,22.0,23.0,32.0,16.0,21.0,-22.0,36.0,49.0,10.0,29.0,-38.0,59
Interest,327.0,185.0,345.0,384.0,425.0,46.0,34.0,112.0,103.0,88.0,99.0,89.0,86
Depreciation,144.0,92.0,143.0,134.0,122.0,118.0,107.0,102.0,97.0,94.0,91.0,98.0,92
Profit before tax,-395.0,-334.0,-440.0,-518.0,-690.0,-256.0,-257.0,-154.0,-114.0,-76.0,48.0,105.0,434
Tax %,28.0,33.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,
Net Profit,-283.0,-224.0,-333.0,-406.0,-690.0,-256.0,-257.0,-154.0,-114.0,-76.0,48.0,58.0,387
EPS in Rs,-44.31,-35.04,-49.52,-55.04,-88.68,-29.64,-26.63,-15.94,-10.35,-6.86,4.35,3.98,24.54
