,Sep 2011,Sep 2012,Sep 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,593.0,699.0,928.0,1128.0,794.0,1190.0,1430.0,1084.0,1336.0,1839.0,1979.0,2103.0,1933
Expenses,519.0,605.0,869.0,1043.0,686.0,917.0,1287.0,955.0,1200.0,1638.0,1688.0,1890.0,1714
Operating Profit,75.0,94.0,59.0,86.0,108.0,273.0,142.0,129.0,136.0,201.0,291.0,213.0,219
OPM %,13.0,13.0,6.0,8.0,14.0,23.0,10.0,12.0,10.0,11.0,15.0,10.0,11
Other Income,0.0,2.0,13.0,10.0,13.0,18.0,17.0,36.0,5.0,7.0,3.0,15.0,13
Interest,60.0,79.0,71.0,75.0,52.0,52.0,25.0,21.0,33.0,48.0,32.0,26.0,21
Depreciation,33.0,33.0,33.0,47.0,31.0,30.0,32.0,33.0,37.0,41.0,44.0,50.0,52
Profit before tax,-18.0,-16.0,-32.0,-27.0,39.0,209.0,102.0,111.0,72.0,120.0,219.0,152.0,159
Tax %,26.0,28.0,39.0,37.0,1.0,25.0,1.0,14.0,-3.0,24.0,29.0,31.0,
Net Profit,-13.0,-11.0,-19.0,-17.0,39.0,156.0,101.0,95.0,73.0,92.0,155.0,105.0,108
EPS in Rs,-0.81,-0.69,-1.19,-1.03,2.39,8.29,5.39,5.05,3.9,4.86,8.24,5.57,5.74
