,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,741.0,1056.0,1393.0,2014.0,2217.0,2610.0,3751.0,4622.0,5026
Expenses,663.0,932.0,1185.0,1710.0,1864.0,2125.0,3040.0,3727.0,3990
Operating Profit,78.0,124.0,208.0,305.0,353.0,484.0,711.0,895.0,1036
OPM %,11.0,12.0,15.0,15.0,16.0,19.0,19.0,19.0,21
Other Income,2.0,3.0,5.0,14.0,14.0,6.0,6.0,19.0,20
Interest,16.0,19.0,40.0,49.0,60.0,94.0,118.0,154.0,197
Depreciation,18.0,26.0,54.0,75.0,76.0,84.0,85.0,96.0,119
Profit before tax,46.0,83.0,119.0,194.0,231.0,312.0,515.0,665.0,740
Tax %,35.0,36.0,29.0,34.0,28.0,24.0,26.0,26.0,
Net Profit,30.0,53.0,84.0,127.0,167.0,237.0,380.0,493.0,548
EPS in Rs,16.75,29.64,12.93,19.54,25.57,36.31,58.31,75.68,84.14
