,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5928.0,6519.0,7271.0,8197.0,8762.0,9434.0,10238.0,11423.0,11889.0,13396.0,14507.0,16623.0,16999
Expenses,5582.0,6077.0,6642.0,7335.0,7558.0,8164.0,8919.0,9741.0,10138.0,11247.0,12912.0,14896.0,14671
Operating Profit,345.0,442.0,629.0,861.0,1204.0,1270.0,1319.0,1683.0,1751.0,2150.0,1595.0,1727.0,2328
OPM %,6.0,7.0,9.0,11.0,14.0,13.0,13.0,15.0,15.0,16.0,11.0,10.0,14
Other Income,248.0,76.0,88.0,295.0,161.0,186.0,201.0,391.0,440.0,338.0,384.0,-781.0,-900
Interest,78.0,71.0,43.0,41.0,44.0,43.0,55.0,60.0,124.0,151.0,252.0,425.0,506
Depreciation,74.0,83.0,94.0,155.0,126.0,131.0,153.0,172.0,200.0,213.0,213.0,239.0,278
Profit before tax,442.0,363.0,579.0,961.0,1195.0,1282.0,1312.0,1841.0,1868.0,2124.0,1514.0,281.0,644
Tax %,26.0,28.0,31.0,28.0,34.0,33.0,41.0,35.0,31.0,40.0,47.0,290.0,
Net Profit,330.0,260.0,402.0,696.0,792.0,858.0,773.0,1189.0,1280.0,1278.0,809.0,-534.0,-250
EPS in Rs,32.97,18.96,29.68,51.15,55.36,60.45,39.76,89.0,85.75,52.96,9.09,-240.19,-214.94
