,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,97,123.0,152.0,151.0,152.0,185.0,236.0,250.0,1295.0,1255.0,1391.0,1578.0,1634
Expenses,82,106.0,119.0,126.0,128.0,162.0,202.0,213.0,1080.0,1048.0,1195.0,1394.0,1415
Operating Profit,15,17.0,33.0,25.0,23.0,24.0,34.0,36.0,215.0,207.0,197.0,184.0,219
OPM %,15,14.0,22.0,17.0,15.0,13.0,14.0,15.0,17.0,16.0,14.0,12.0,13
Other Income,0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,66.0,43.0,38.0,21.0,20
Interest,2,3.0,3.0,3.0,4.0,5.0,6.0,6.0,36.0,23.0,25.0,68.0,90
Depreciation,2,2.0,3.0,2.0,3.0,4.0,5.0,5.0,55.0,69.0,73.0,105.0,118
Profit before tax,11,13.0,28.0,21.0,17.0,15.0,26.0,29.0,189.0,158.0,137.0,31.0,31
Tax %,32,34.0,34.0,33.0,36.0,39.0,25.0,26.0,24.0,26.0,26.0,28.0,
Net Profit,7,8.0,19.0,14.0,11.0,9.0,19.0,22.0,144.0,117.0,102.0,22.0,22
EPS in Rs,,6.08,13.54,9.92,7.68,2.41,5.16,5.5,36.83,29.93,26.0,5.75,5.68
